ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10229232,HY416562,9/9/2015 11:42,006XX S WESTERN AVE,810,THEFT,OVER $500,CTA TRAIN,FALSE,FALSE,1135,11,2,28,6,1160488,1897219,2015,2/10/2018 15:50,41.87366818,-87.68623302,"(41.873668176, -87.686233016)"
10229235,HY416609,8/12/2015 12:00,0000X W ELM ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,APARTMENT,FALSE,FALSE,1824,18,42,8,11,1175930,1908090,2015,2/10/2018 15:50,41.90316534,-87.62921044,"(41.90316534, -87.629210442)"
10229236,HY416549,9/9/2015 10:00,076XX S ESSEX AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,FALSE,TRUE,421,4,7,43,26,1194187,1854863,2015,2/10/2018 15:50,41.75667746,-87.56390135,"(41.756677456, -87.56390135)"
10229237,HY416587,9/8/2015 14:00,004XX W GRAND AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,FALSE,FALSE,1831,18,42,8,11,1173216,1903822,2015,2/10/2018 15:50,41.89151441,-87.63930624,"(41.891514405, -87.639306236)"
10229238,HY416570,9/9/2015 12:04,078XX S EMERALD AVE,4625,OTHER OFFENSE,PAROLE VIOLATION,SIDEWALK,TRUE,FALSE,621,6,17,71,26,1172668,1852595,2015,2/10/2018 15:50,41.75095485,-87.64283068,"(41.750954852, -87.64283068)"
10229239,HY416567,9/9/2015 12:30,005XX N PAULINA ST,820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,1215,12,26,24,6,1164971,1903691,2015,9/17/2015 11:37,41.89133394,-87.66958987,"(41.891333942, -87.669589873)"
10229244,HY416568,9/7/2015 21:00,007XX N RACINE AVE,530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,1215,12,27,24,04A,1168261,1904935,2015,2/10/2018 15:50,41.89467709,-87.65747134,"(41.89467709, -87.657471335)"
11647523,JC215281,11/11/2018 0:01,016XX W WALLEN AVE,1140,DECEPTIVE PRACTICE,EMBEZZLEMENT,APARTMENT,FALSE,FALSE,2432,24,49,1,12,,,2018,4/8/2019 16:19,,,
10229248,HY416580,9/8/2015 23:00,029XX N MONTCLARE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,2511,25,36,18,14,1128240,1918771,2015,2/10/2018 15:50,41.93341593,-87.80414577,"(41.933415931, -87.804145774)"
10229249,HY416594,9/9/2015 11:15,124XX S WENTWORTH AVE,560,ASSAULT,SIMPLE,RESIDENCE,FALSE,FALSE,523,5,9,53,08A,1177192,1822488,2015,9/17/2015 11:37,41.66823625,-87.62715739,"(41.668236248, -87.627157387)"
10229250,HY416540,9/8/2015 18:00,071XX S RHODES AVE,031A,ROBBERY,ARMED: HANDGUN,STREET,FALSE,FALSE,323,3,6,69,3,1181139,1857898,2015,2/10/2018 15:50,41.7653161,-87.61162598,"(41.765316099, -87.611625977)"
10229251,HY416321,9/9/2015 8:00,001XX N KEELER AVE,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,FALSE,FALSE,1114,11,28,26,3,1148375,1900337,2015,2/10/2018 15:50,41.88246631,-87.73062596,"(41.882466305, -87.730625963)"
